id	description	description_en	description_zh-CN	description_zh-TW
1003	ララは回復し、自身の能力を高めた！	Lara recovered and enhanced her abilities!	拉拉恢复并提升了自身能力！	拉拉已回復，並提高自身的能力！
1004	鴉は感覚を研ぎ澄ませ、自身の能力を高めている！	Crow sharpened her senses and enhanced her abilities!	鸦集中感觉，提升了自身能力！	烏鴉使感覺清澄犀利，提高自身的能力！
1005	魔石の傀儡はみんなを回復させた！	The Fairystone Puppet recovered everyone!	魔石傀儡为同伴进行了恢复！	魔石傀儡讓大家都回復了！
1006	仲間を失い怒っている！	Went into a rage after losing an ally!	因为失去同伴而狂暴化了！	為失去夥伴而憤怒！
1007	魔王の攻撃は苛烈を極めていく	The Demon King's attacks are getting more ferocious.	魔王的攻击愈发猛烈。	魔王的攻擊變得極其猛烈。
1008	自身の能力を高めた！	Enhanced own abilities!	自身能力提升了！	已提高自身的能力！
1009	苦手な攻撃を受けてびっくりした！	Startled by a dreaded attack!	弱点遭到攻击，吓了一跳！	受到不擅於應付的攻擊，嚇了一跳！
1010	赤ぷには仲間を強化した！	The Red Puni enhanced its allies!	红噗尼强化了友方！	紅噗尼強化了夥伴！
1011	体勢が変化した！	Changed stance!	架势发生改变！	態勢改變了！
1012	ボスは不思議な力を放出している！	The boss is emitting a mysterious power!	头目发动了神奇之力！	頭目正散發出神奇之力！
1014	この……王の前に跪きなさい！	Why you...! Kneel before your Queen!	向本王……俯首称臣吧！	可惡……在王的面前還不跪下！
1015	花ぷにが瘴気をばら撒いた！	The Flower Puni dispersed miasma!	花噗尼散发出了瘴气！	花噗尼四處噴發了瘴氣！
1016	体勢を崩した！	Downed!	已打乱架势！	失去平衡了！
1017	味方のクリティカル発生確率がUP！	Boosted critical rate for allies!	我方发动暴击概率提升！	我方的重擊發生率上升！
1018	ゴーレムは慌てている！	The Golem is panicked!	魔巨人陷入了慌乱！	魔巨人陷入驚慌！
1019	猛攻を仕掛けてくる！	A fierce attack is coming!	即将发动猛攻！	即將發動猛攻！
1020	本体は不思議な力で守られている…	The body is protected by a mysterious force...	主体被神奇之力保护着……	本體受到神奇之力保護著……
1021	右腕が破壊され、力が少し弱まった！	Right arm destroyed, power slightly weakened!	右臂被破坏，力量减弱了一点！	右臂遭到破壞，力量稍微減弱了！
1022	左腕が破壊され、防御が少し弱まった！	Left arm destroyed, defenses slightly weakened!	左臂被破坏，防御减弱了一点！	左臂遭到破壞，防禦稍微減弱了！
1023	本体の守りが解けた！	The protection around the body has fallen!	主体的保护解除了！	本體解除守備了！
1024	とても強い力が放出された！	A tremendous power has been unleashed!	释放出了非常强大的力量！	釋放出了極為強大的力量！
1025	今の攻撃が効いているようだ！	That attack seemed quite effective!	刚才的攻击似乎奏效了！	剛才的攻擊似乎很有效！
1026	動きが鈍くなった！	Its movements have slowed down!	动作变得迟钝了！	行動變遲鈍了！
1027	不思議な力を放出した！	Emits a mysterious power!	释放了神奇的力量！	釋放出了神奇之力！
1028	ピリピリした空気が辺りを包む…！	A crackling tension envelops the area!	令人刺痛的空气覆盖了这一带……！	周遭籠罩著帶電的空氣……！
1029	暗い気配が辺りを包む...！	A dark presence envelops the area!	黑暗气息覆盖了这一带……！	周遭籠罩著陰森的氣息……！
1030	強い力が放出された！	A strong power has been unleashed!	释放出了强大的力量！	釋放出了強大的力量！
1031	鴉が辺りを暗闇に包む...！	Crow envelops the area in darkness!	鸦用黑暗覆盖了这一带……！	烏鴉使黑暗籠罩四周……！
1032	癒しを振り撒いた！	Scattered healing!	散布了治愈！	向四處散布了治癒！
1033	不思議な力を放出した！	Emits a mysterious power!	发动了神奇之力！	散發出了神奇之力！
1034	癒しを振り撒いた！	Scattered healing!	散布了治愈！	向四處散布了治癒！
1035	力を溜めている！	Charging up power!	正在蓄力！	正在蓄力！
1036	不思議な力を放出した！	Emits a mysterious power!	发动了神奇之力！	散發出了神奇之力！
1037	右腕の体勢を立て直し、力が戻った…	Right arm regained strength, power restored...	重整右臂的态势，力量恢复了……	右臂重整態勢，恢復了力量……
1038	左腕の体勢を立て直し、防御が戻った…	Left arm regained strength, defenses restored...	重整左臂的态势，防御恢复了……	左臂重整態勢，恢復了防禦……
1039	強化の力を振り撒いた！	Scattered enhancements!	散布了强化之力！	向四周散布了強化之力！
1040	右腕が完全に破壊され、力が弱まった！	Right arm completely destroyed, power weakened!	右臂被完全破坏，力量减弱了！	右臂遭到完全破壞，力量減弱了！
1041	左腕が完全に破壊され、防御が弱まった！	Left arm completely destroyed, defenses weakened!	左臂被完全破坏，防御减弱了！	左臂遭到完全破壞，防禦減弱了！
1042	力を溜めている！	Charging up power!	正在蓄力！	正在蓄力！
1043	麗しの霊獣の力が漲っていく…！	The power of the Elegant Spirit Beast grows!	秀丽灵兽的力量正在高涨……！	秀麗靈獸力量高漲……！
1044	闇の支配者が身を守っている！	The Dark Sovereign is guarding himself!	黑暗支配者正在保护自己！	黑暗支配者採取了防禦的姿態！
1045	マイナス効果を自身の力に変えてくる…！	Negative effects are being converted into power!	正在把负面效果转变成自身的力量……！	減弱效果逐漸轉化為自身的力量……！
1046	不思議な力を放出した！	A mysterious power was emitted!	发动了神奇之力！	散發出了神奇之力！
1047	瘴気をばら撒いた！	Dispersed miasma!	散发出了瘴气！	四處噴發了瘴氣！
1048	ジェロンは体勢を整えると、雰囲気が一変した...！	As Geron recovers, the atmosphere changes!	杰隆摆好了架势，气氛骤变……！	傑隆重整態勢後，氣勢倏然一變……！
1049	古の魔像は身を固めた！	The Ancient Magic Statue has hardened.	古老魔像加强了防御！	古代魔像加強了防禦！
1050	古の魔像は力を溜めた！	The Ancient Magic Statue is gathering power!	古老魔像积蓄了力量！	古代魔像蓄積了力量！
1051	ララが体勢を整えると、辺りの空気が一変した！	Lara recovers her stance, the air around her changes!	拉拉摆好了架势，周围的气氛骤变！	拉拉重整態勢後，周遭氣氛倏然一變！
1052	本体は不思議な力で守られている…	The body is protected by a mysterious force...	主体被神奇之力保护着……	本體受到神奇之力保護著……
1053	右腕が破壊され、力が少し弱まった！	Right arm destroyed, power slightly weakened!	右臂被破坏，力量减弱了一点！	右臂遭到破壞，力量稍微減弱了！
1054	左腕が破壊され、防御が少し弱まった！	Left arm destroyed, defenses slightly weakened!	左臂被破坏，防御减弱了一点！	左臂遭到破壞，防禦稍微減弱了！
1055	本体の守りが解けた！	The protection around the body has fallen!	主体的保护解除了！	本體解除守備了！
1056	右腕の体勢を立て直し、力が戻った…	Right arm regained strength, power restored...	重整右臂的态势，力量恢复了……	右臂重整態勢，恢復了力量……
1057	左腕の体勢を立て直し、防御が戻った…	Left arm regained strength, defenses restored...	重整左臂的态势，防御恢复了……	左臂重整態勢，恢復了防禦……
1058	右腕が完全に破壊され、力が弱まった！	Right arm completely destroyed, power weakened!	右臂被完全破坏，力量减弱了！	右臂遭到完全破壞，力量減弱了！
1059	左腕が完全に破壊され、防御が弱まった！	Left arm completely destroyed, defenses weakened!	左臂被完全破坏，防御减弱了！	左臂遭到完全破壞，防禦減弱了！
1060	不思議な力を振りまいた！	A mysterious power was unleashed!	将神奇之力向四面八方散播！	揮灑了神奇之力！
1061	「ど根性！！！」	"""Unbreakable!!"""	“坚持住！！！”	「貨真價實的毅力！！！」
1062	「す、少し手加減してやろう」	"""I-I suppose I can hold back a little."""	“我、我就给你放点水好了。”	「稍、稍微手下留情吧……」
1063	スクールナイトは体勢を崩した！	The School Knight has been downed!	学院的骑士失去平衡了！	學園騎士失去平衡！
1064	湯浴み精霊はととのった！	The Spring Spirit recovered!	泡温泉的精灵陷入了陶醉！	入浴精靈感到通體舒暢！
1065	仲間を失い怒っている！	Went into a rage after losing an ally!	因为失去同伴而狂暴化了！	為失去夥伴而憤怒！
1066	歴戦のデザートラグーンが砂を周囲に撒き散らした！	The Battle-Scarred Desert Lagoon scatters sand around!	身经百战的沙漠潟湖鲨往四周喷洒了沙子！	身經百戰的沙漠潟湖鯊把沙子往周圍灑去！
1067	歴戦のデザートラグーンから力が抜けていく！	Power is draining from the Battle-Scarred Desert Lagoon!	身经百战的沙漠潟湖鲨逐渐失去了力气！	身經百戰的沙漠潟湖鯊逐漸失去力量！
1068	砂漠ガメは身構えている！	The Desert Turtle is defending!	沙漠龟摆出了战斗姿势！	沙漠龜蓄勢待發！
1069	クラギィシェルは身構えている！	The Craggy Shell is defending!	岩壳兽摆出了战斗姿势！	岩岩甲貝蓄勢待發！
1070	力を奪われ、動きが鈍った！	Sapped of strength, its movements are slowed!	失去了力量，动作变得迟钝了！	失去力量，行動變遲鈍了！
1071	強い恨みを残していった！	A powerful grudge was left behind!	带着强烈的怨恨离开了！	留下了強烈的恨意！
1072	強い力が放出された！	A strong power has been unleashed!	释放出了强大的力量！	釋放出了強大的力量！
1073	周囲の力が奪われていく…！	The surrounding power is being drained...!	四周的力量被夺走了……！	周圍的力量逐漸被奪去……！
1074	魔王の攻撃は苛烈を極めていく	The Demon King's attacks are getting more ferocious.	魔王的攻击摧枯拉朽。	魔王的攻擊變得極其猛烈。
1075	赤ぷには仲間のカウンター状態を解除した！	The Red Puni removed your allies' Counter status!	红噗尼解除了友方的还击状态！	紅噗尼解除了夥伴的還擊狀態！
1076	道具によって大きくひるんだようだ！	It seems to have been greatly staggered by the item!	敌人在道具的作用下十分害怕！	似乎因道具而畏縮不已！
1077	花ぷには幸運を振り撒いた！	The Flower Puni spread good luck around!	花噗尼散布了幸运！	花噗尼向周圍散布了幸運！
1078	アンチュは回復し、自身を強化した！	Antje healed and boosted her own power!	安洁恢复并强化了自身！	安潔已回復，並強化自身！
1079	面倒くさいなあ〜…	So annoying...	真麻烦啊……	真是麻煩啊～
1080	ワルターが妖しい光を放った！	Walther emitted a mysterious light!	瓦尔特发出了诡异的光！	瓦爾特放出了一道妖異的光芒！
1081	少し、本気を出しましょうか	Time to get a bit more serious.	我就稍微认真点好了。	稍微拿出真本事吧。
1082	仲間を不思議な力で守っている…	The Queen is protecting her allies with a mysterious power.	正在用神奇之力保护着友方……	用神奇之力保護著夥伴……
1083	仲間を守っていた力が解けた！	The power protecting her allies has faded!	保护友方的力量解除了！	保護夥伴的力量解除了！
1084	体勢が変化した！	Changed stance!	架势发生改变！	態勢改變了！
1085	強い力が放出された！	A strong power has been unleashed!	释放出了强大的力量！	釋放出了強大的力量！
1086	体勢を崩した！	Downed!	已打乱架势！	失去平衡了！
1087	状態異常解除を振り撒いた！	Scattered status effect remover!	散布了异常状态解除！	向四周散布了異常狀態解除！
1088	薬の力で、鴉の能力が強化されている！	Crow's abilities are enhanced by the potion!	通过药的力量，鸦的能力得到了强化！	因為藥的力量，烏鴉的能力已受到強化！
1089	私の邪魔をするな！！	Don't get in my way!	不要妨碍我！！	不要阻撓我！！
1090	すべては……オリバー様のために……！	Everything...is for Lord Oliver!	一切……都是为了奥利弗大人……！	一切都是……為了奧利弗大人……！
1091	ぐっ……！	Ugh!	唔……！	唔……！
1092	ブラックリーパーから力が抜けていく！	Power is draining from the Black Reaper!	黑色收割者逐渐失去了力气！	闇黑死神逐漸失去力量！
1093	会心の手応えで弱っているようだ！	A critical strike seems to have weakened it!	暴击的威力似乎变弱了！	似乎因重擊的效果而變得虛弱了！
1094	仲間が倒され怒っている！	It's angry because its ally was defeated!	因为同伴被打倒而狂暴化了！	因夥伴被擊倒而憤怒！
1095	仲間が倒され怒っている！	It's angry because its ally was defeated!	因为同伴被打倒而狂暴化了！	因夥伴被擊倒而憤怒！
1096	ファニーフェイスは周囲の力を奪っていった！	Funny Face drained the surrounding power!	鬼脸夺走了周围的力量！	鬼臉奪走了周圍的力量！
1097	強い日差しで目がくらんだ！	The strong sunlight blinds its eyes!	太阳光过于耀眼，看不清东西了！	因為熾烈的陽光而頭暈目眩！
1098	危機に反応して能力を高めた！	Enhanced abilities in response to the danger!	对危机产生反应，能力提升了！	應對危機後能力因此提高了！
1099	仲間が倒され怒っている！	Enraged because an ally was defeated!	因为同伴被打倒而狂暴化了！	因夥伴被擊倒而憤怒！
1100	瘴気が弱まった！	The miasma has weakened!	瘴气减弱了！	瘴氣變稀薄了！
1101	ヨハナは能力を高めている！	Johanna is enhancing her abilities!	约翰娜的能力提升了！	約翰娜在提升能力！
1102	アンチュとワルターの守りを高めている！	Antje and Walther's defenses have been strengthened!	正在加强安洁和瓦尔特的守护！	安潔和瓦爾特的守備在提升！
1103	アンチュとワルターの守りが弱まった！	Antje and Walther's defenses have been weakened!	安洁和瓦尔特的守护变弱了！	安潔和瓦爾特的守備已減弱！
1104	アンチュとワルターの守りが弱まった！	Antje and Walther's defenses have been weakened!	安洁和瓦尔特的守护变弱了！	安潔和瓦爾特的守備已減弱！
1105	アンチュとワルターの守りが弱まった！	Antje and Walther's defenses have been weakened!	安洁和瓦尔特的守护变弱了！	安潔和瓦爾特的守備已減弱！
1106	傷ついて怒り出した！	Wounded and driven into a rage!	受伤使它愤怒了！	受傷而發怒！
1107	がぁぁぁぁっ！	Gaaahhh!	嘎啊——！	嘎啊啊啊啊！
1108	ふふふ……私には効かないわ	Hehehe. That won't work on me.	呵呵……这对我不起作用。	呵呵呵……對我起不了作用呢。
1109	くっ……	Ngh...	唔……	唔……
1110	仲間のターンを早めた！	Advanced allies' turns!	提前了友方回合！	加快了夥伴的行動回合！
1111	更に力が変化した！	The power has changed further!	力量进一步发生改变！	力量進一步改變了！
1112	癒しの力があふれ出る！	Healing energy is overflowing!	治愈之力要溢出了！	治癒之力滿溢而出！
1113	力が高まっていく！	Strength is building up!	力量在膨胀！	力量越發提升！
1114	力の高まりが消えた！	The strength buildup has faded!	提升的力量消失了！	力量的提升效果消失了！
1115	グラスビーンズ	Grass Beans	草豆	草豆
1116	胴体にエネルギーが集約し、灼熱の力が増している！	Energy gathers in its torso, amplifying its blazing power!	胴体有能量集中，灼热之力在不断提升！	能量凝聚於軀幹，灼熱之力逐漸增加！
1117	激昂し周囲を焼き尽くそうとしている！	It's enraged and trying to incinerate everything around it!	发怒的顶兽想要烧毁一切！	情緒激憤，想要燒毀周圍的一切！
1118	頸部にエネルギーが集約し、冷気の力が増している！	Energy gathers in its neck, amplifying its freezing power!	颈部有能量集中，冷气之力在不断提升！	能量凝聚於頸部，寒氣之力逐漸增加！
1119	激昂し全てを凍らせようとしている！	It's enraged and attempting to freeze everything in its path!	发怒的顶兽想要冻结一切！	情緒激憤，想要凍結一切！
1120	両肩からエネルギーが放たれ、力が打ち消された！	Its shoulders release energy, neutralizing its power!	双肩释放能量，力量被抵消了！	兩肩釋放出能量，力量遭到抵銷！
1121	激昂し巨大な雷を引き起こそうとしている！	It has become enraged, and is preparing a lightning strike!	发怒的顶兽想要落下巨雷！	情緒激憤，想要降下巨大之雷！
1122	両腕のクリスタルから頂獣を守る烈風が発生している！	It generates fierce winds, protecting the Apexi!	双臂的水晶卷起的烈风正在保护顶兽！	從雙臂的水晶出現守護頂獸的烈風！
1123	激昂し荒れ狂う嵐を呼ぼうとしている！	It's enraged and trying to summon a raging storm!	发怒的顶兽想要召唤风暴！	情緒激憤，想要召喚狂亂的暴風！
1124	メタルゴーレムは癒しの力を振りまいた！	The Metal Golem is sending out healing energy!	金属魔巨人将治愈之力向四面八方散播！	金屬魔巨人揮灑了治癒之力！
1125	激昂し破壊衝動が渦巻いている！	Overcome by rage, its destructive impulses swirl around wildly!	勃然大怒，想要大肆破坏！	情緒激昂，一股破壞衝動翻騰而起！
1126	攻撃を受けて朦朧としている！	Left in a daze after receiving an attack!	受到攻击，意识不清醒了！	承受攻擊，意識模糊！
1127	急所に当たって体勢を崩した！	Downed after being hit in a vulnerable spot!	要害受到攻击，失去平衡了！	擊中要害，失去了平衡！
1128	辺りが燃え上がり、強い力が放出された！	The surroundings burst into flames, unleashing a powerful force!	周围燃烧起来，释放出了强大的力量！	周圍熊熊燃燒，釋放出強大的力量！
1129	ドリームイーターは守りを固めた！	The Dreameater strengthened its defenses!	食梦者加强了防御！	食夢者加強了守備！
1130	トランヒールサルヴ・改	Tranquil Salve: MK II	鱼油治愈软膏·改	特效療癒軟膏‧改
1131	みなぎる力で傷を癒した！	Healed the wounds with overflowing power!	涌现的力量治好了伤口！	用洋溢之力治癒了傷口！
1132	吹き出した粉が発火し、辺りが炎に包まれた！	The scattered powder ignites, engulfing the area in flames!	喷出的花粉燃烧起来，四周被大火包围了！	噴出的粉末開始燃燒，四周被大火包圍了！
1133	全身にエネルギーがほとばしる！	Energy surges through the entire body!	全身迸发出了能量！	全身迸發出能量！
1134	ブラックリーパーから力が抜けていく！	Power is draining from the Black Reaper!	黑色收割者逐渐失去了力气！	闇黑死神逐漸失去力量！
1135	やってくれるじゃない…！			
1136	クリスマスヒツジがプレゼントを配った！			
1137	最後の力を振り絞り、癒しを振りまいた！	Using the last of its power, it scattered healing!	用尽最后的力气，散播了治愈之力！	用盡了最後的力量，揮灑了治癒之力！
1138	水を纏って張り切っている！	Being shrouded in water gives it energy!	身缠水流十分亢奋！	被水環繞，幹勁十足！
1139	この程度では終わらない…！	I won't let this end like this!	才不会在这里就结束……！	不會因為這點程度就結束……！
1140	生命力をみなぎらせている！	Its vitality is surging!	生命力不断涌现！	使其充滿了生命力！
1141	仲間が倒され怒っている！	It's furious that an ally has fallen!	因为同伴被打倒而狂暴化了！	因夥伴被擊倒而憤怒！
1142	ああ…そんな…クリセルダ…！			
1143	さて、本気を出しましょうか			
1144	ぐっ…！力が…！			
1145	食欲をそそるおもちの香りが意識を乱す！			
1146	暗い気配があたりを包む...！			
1147	さあ、全力でかかっていらっしゃい			
1148	この程度じゃ、まだ認めてあげられないわね			
